subject,personal,outdoor,home,time_out
1,26.29,35.87771036,22.29,0.57
2,14.63,43.79189231,13.97,0.9
3,21.45,49.81254724,18.96,0.55
4,3.3,34.37365835,22.27,0.17
5,29.28,45.9549611,23.4,0
6,29.77,64.76558352,39.62,0.3
7,31.97,88.86318083,44.12,0.05
8,32.45,81.91561358,45.74,0.33
9,28.55,92.56333669,7.14,0.26
10,46.01,58.54512374,30.73,0.51
11,40.2,88.81679389,31.68,0.34
12,37.58,104.0997389,45.1,0.42
13,38.28,30.43501407,35.38,0.69
14,22.1,44.67319741,24.36,0.08
15,28.85,68.86153511,38.84,0.09
16,25.78,86.91234864,35.38,0.24
17,53.18,70.00282436,11.13,0.65
18,25.67,66.33888352,15.05,0.27
19,19.04,39.34691237,3.79,0.38
20,11.78,33.52134477,16.74,0.63
21,8.01,39.89354651,17.83,0.12
22,3.23,31.08823182,7.89,0.16
23,13.54,41.62384928,18.85,0.12
24,9.82,23.48512727,19.44,0.11
25,0.59,38.57674281,24.7,0.33
26,67.18,73.98626097,24.76,0.41
27,11.49,36.51359452,28.82,0.04
28,22.19,60.32505455,26.12,0.17
29,31.44,37.69517527,12.89,0.21
30,13.94,71.87806562,9.51,0.38
31,34.24,35.68935988,32.24,0.26
32,18.93,21.47472727,22.2,0.54
33,38.76,68.25994659,45.31,0.17
34,20.88,11.60333463,0.8,0.09
35,11.81,20.64869194,5.71,0.78
36,0.46,50.75432479,8.03,0.66
37,18.85,44.41957431,11.88,0.65
38,11.66,50.65863014,11.47,0.56
39,47.19,13.70686313,10.01,0.28
40,39.12,23.77202349,18.69,0.42
41,43.81,50.1466705,26.21,0.33
42,61.19,54.31838532,46.04,0.45
43,27.21,39.10630137,31.81,0.04
44,0.91,14.48041877,5.84,0
45,9.06,58.36519481,13.45,0.13
46,13.12,45.25340917,6.81,0.08
47,32.81,63.98188976,30.56,0.1
48,19.31,18.97619069,14.7,0.08
49,39.59,28.4120944,12.01,0.33
50,3.34,18.69170985,4.11,0.04
51,25.83,12.73163761,21.28,0.25
52,23.75,34.08980866,17.49,0.25
53,13.33,28.53097345,11.93,0.25
54,0.67,14.96850286,3.26,0.16
55,14.9,22.95332381,7.28,0.29
56,26.71,41.26573011,13.15,0.21
57,25.04,40.5395713,14.46,0.28
58,15.65,35.28330384,18.64,0.25
59,3.33,12.97068448,4.56,0.13
60,6.77,27.68221778,11.18,0.12
61,45.13,40.09483384,24,0.33
62,12.14,49.61041634,17.74,0
63,5.19,53.28555741,6.24,0.04
64,48.65,45.24220358,23.74,0
